LANGUAGE,한국어
MOD_DESCRIPTION,최적화된 조명 및 톤 조정으로 적응 가능한 조명 조절.
MOD_NAME,Lumina
HOTKEY,"단축키 설정"
CLOSE_TEXT,닫기
EXPOSURECONTROL_TEXT,노출 조절
LUMINOSITY_TEXT,밝기
GAMMA_TEXT,감마
RADIANCE_TEXT,대조
LIGHTING_TEXT,조명
HUE_TEXT,색조
TINT_TEXT,색상
STYLES_MOD_NAME,스타일
COLOR_CORRECTION_MOD_NAME,색상 보정
VISUALISM_MOD_NAME,비주얼리즘
SUNTEMP_TEXT,태양 온도
SUNTINT_TEXT,태양 색조
SKYTEMP_TEXT,하늘 온도
SKYTINT_TEXT,하늘 색조
MOONTEMP_TEXT,달 온도
MOONTINT_TEXT,달 색조
MOONLIGHT_TEXT,달 빛
TWILIGHTTINT_TEXT,황혼 색조
ENABLE_SKYTONE_TEXT,하늘 톤 매핑 활성화
DISABLE_SHADOWSMOOTH_TEXT,그림자 부드럽게 하지 않기
FORCELOWBIAS_TEXT,최소한의 그림자 오프셋 강제
RESET_TEXT,모두 초기화
LOAD_TEXT,불러오기
DELETE_TEXT,삭제
WORKSHOP_TEXT,작업실
NOstyle_TEXT,Lumina 스타일을 찾을 수 없습니다!
RELOADstyle_TEXT,스타일 목록 다시 불러오기
OPENLOCALFOLDER_TEXT,로컬 스타일 폴더 열기
LAUNCHLUT_TEXT,LUT 편집기 실행
SHADOWINT_TEXT,그림자 강도
SHADOWBIAS_TEXT,그림자 오프셋 배수
CLASSICFOG_TEXT,클래식 안개
FOGINTENSITY_TEXT,안개 강도
LIGHTCOMP_TEXT,Render It!, Relight, Softer Shadows 또는 Daylight Classic이 감지되어 기능이 비활성화되었습니다.
SAVE_TEXT,저장
SHADER_CONFIG,셰이더 설정
RESTART_TEXT,아래 설정을 적용하려면 게임을 재시작해야 합니다.
STATUS_LABEL,동적 해상도 상태:
